mid,name,name yomigana,artist,artist yomigana,music ascii,simplified chinese,original artist,aka1,aka2,aka3,aka4,aka5,aka6,aka7
24,西日暮里の踊り,nishinipporinoodori,家の裏でマンボウが死んでるP,ienourademanbougashinderupii,nishinippori manbo,西日暮里之舞,,,,,,,,
25,Rebellious stage,riberiosusuteeji,Dios/シグナルP,diosushigunarupii,rebellious stage dios,,,,,,,,,
26,ごりらがいるんだ,goriragairunda,ピノキオP,pinokiopii,gorilla pinocchio,,,,,,,,,
27,とある少年の一日,toarushounennoichinichi,蝶々P,chouchoupii,shonen chocho,某个少年的一天,,,,,,,,
28,Vampire Killer scar-ed Pf rmx,vanpaiakiraasukeaadopiiefurimikkusu,fu_mou,fumou,vampire killer fumou,,浅田 靖,,,,,,,
29,遠く Dexholic Mix,tookudekkusuhorikkumikkusu,Dixie Flatline feat.祭屋,dikishiifurattorainfuyuucharingusaiya,tooku dixieflatline,遥远 Dexholic Mix,,,,,,,,
30,Xepher Light and Darkness Dragon REMIX,zefaaraitoandodaakunesudoragonrimikkusu,デッドボールP,deddoboorupii,xepher deadball,,Tatsh,和风|zephyr,,,,,,
31,Diamond Dust Black Diamond Dust,daiamondodasutoburakkudaiamondodasuto,azuma,azuma,diamond dust azuma,,,,,,,,,
32,Second Heaven Lamaze-REMIX,sekandohebunramaazurimikkusu,ラマーズP,ramaazupii,second heaven lamaze,,Ryu☆,二天堂,三倍冰激凌|三倍ice cream,,,,,
33,RED ZONE NeoClassical Party Remix,reddozoonneokurashikarupaateiirimikkusu,幽閉カタルシス,yuuheikatarushisu,redzone yuuhei,,Tatsh&NAOKI,红区,,,,,,
34,サイコパスコミュニケーション,saikopasukomyunikeeshon,ゆちゃP,yuchapii,phychopas yucha,,,,,,,,,
,,,,,,,,,,,,,,
36,冥 Rockin' SWING REMIX,meirokkinsuuingurimikkusu,164,ichirokuyon,mei 164,,Amuro vs Killer|dj TAKA vs Tatsh,这是什么。。。,,,,,,
37,neu BSP style,noibiiesupiisutairu,cosMo＠暴走P,kosumoattobousoupii,neu cosmo,,,,,,,,,
,,,,,,,,,,,,,,
39,TYCOON,taikuun,SOUND HOLIC feat. Nana Takahashi,saundohorikkufiicharingunanatakahashi,tycoon soundholic,,,,,,,,,
40,不思議玩具ガンガラディンドン,fushigiomochagangaradindon,マチゲリータ,machigeriita,fushigiomocha machigerita,不可思议的玩具gangaradindon,,不思议玩具,,,,,,
41,U&M,yuuandoemu,emon,emon,u and m emon,,,,,,,,,
42,ヤサイマシ☆ニンニクアブラオオメ,yasaimashininnikuaburaoome,azuma feat. ななひら,azumafiitonanahira,yasaimasi azuma,,,,,,,,,
43,RPGシンドローム,aarupiijiishindoroomu,幽閉カタルシス,yuuheikatarushisu,rpg syndrome yuuhei,,,,,,,,,
44,世界はネコのもの,sekaihanekonomono,Nem,nemu,sekaiha neko nem,世界为猫之物,,,,,,,,
45,wound,waundo,KEENO,kiino,wound keeno,,,,,,,,,
,,,,,,,,,,,,,,
47,FLOWER REDALiCE Remix,furawaareddoarisurimikkusu,REDALiCE,reddoarisu,flower redalice,,DJ YOSHITAKA|4C,红花,,,,,,
48,cloud,kuraudo,EZFG,iizettoefujii,cloud ezfg,,,,,,,,,
49,ソラヘドライブ,sorahedoraibu,ぐるたみん,gurutamin,soraedrive gurutamin,,,,,,,,,
50,おにゃのこ　きねんび,onyanokokinenbi,赤飯,sekihan,onyanoko sekihan,,,,,,,,,
51,春色ポートレート,haruiropootoreeto,しゃむおん,shamuon,haruiro syamuon,春色肖像,,,,,,,,
52,キミノメヲ,kiminomewo,そらる,soraru,kiminomewo soraru,,,,,,,,,
53,カーニバル,kaanibaru,otetsu feat.灯油,otetsufiicharingutouyu,carnival touyu,,,,,,,,,
54,恋する☆宇宙戦争っ！！ あばばばみっくす,koisuruuchuusensouabababamikkusu,ARM (IOSYS),aamu,uchusensou arm,恋爱的宇宙战争,,,,,,,,
55,突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,totsugekigarasunoniisohimediiwattonyuudenpa rimikkusu,D.watt(IOSYS),diiwatto,garasuno kneeso dwatt,突击！玻璃的过膝袜公主,山本椛 (monotone),,,,,,,
56,天ノ弱,amanojaku,164 feat. GUMI,ichirokuyonfiicharingugumi,amanojaku 164,天之弱,,我ノ弱|我之弱,,,,,,
57,君にエールを・・・！ （DJ UTO REMIX）,kiminieeruwodiijieeutorimikkusu,Mayumi Morinaga,mayumimorinaga,kimini yellwo djuto,,,,,,,,,
58,Nyan Cat,nyankyatto,daniwellP feat. 桃音モモ,danierupiifiicharingumomonemomo,nyancat daniwellp,,,彩虹猫,,,,,,
59,caramel ribbon,kyarameruribon,P*Light,piraito,caramel ribbon plight,,,,,,,,,
60,香港功夫大旋風,honkonkanfuuharikeen,Daisuke Ohnuma,daisukeoonuma,hongkong ohnuma,香港功夫大旋风,,,,,,,,
61,レトロスペクティビリー・メリーゴーランド,retorosupekuteibiriimeriigoorando,はるなば,harunaba,retrospec harunaba,,,,,,,,,
62,Space Diver Tama,supeesudaibaatama,黒魔,kuroma,space diver kuroma,,,,,,,,,
63,Onigo,onigo,Hommarju,omaaju,onigo hommarju,,,,,,,,,
64,SOUL EXPLOSION,souruekusupuroojon,kanone,kanone,soul explosion kanone,,,灵魂爆炸,,,,,,
65,サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,sayonarahevunkameriazunekomataerekutororimikkusu,かめりあ,kameria,sayonara heaven kameria,,猫叉Master,再见天堂,古德拜海文|古德白海文,山茶花天堂,,,,
66,.59 -BOOTH BOOST REMIX-,tengokubuusubuusutorimikkusu,IDEA+RHYTHM,aidearizumu,59 idearhythm,,dj TAKA,,,,,,,
67,Ignited Night burst,igunaiteddonaitobaasuto,N-driver,enudoraibaa,ignited night ndriver,,,,,,,,,
68,Fire Strike,faiyaasutoraiku,Junk,janku,fire strike junk,,,,,,,,,
69,World Vertex,waarudoverutekkusu,void,voido,world vertex void,,,,,,,,,
70,Distorted Floor,disutooteddo furoaa,RoughSketch,rafusuketchi,distorted floor roughsketch,,,,,,,,,
71,freaky freak,furiikiifuriiku,kamome sano,kamomesano,freaky freak kamome,,,键盘歌,,,,,,
72,GAMBOL (dfk SLC rmx),gamuboorudiiefukeeesuerushiirimikkusu,D.F.K.Soundsystem,diiefukeesaundoshisutemu,gambol dfk,,SLAKE,,,,,,,
73,Ganymede kamome mix,ganimedekamomemikkusu,kamome sano,kamomesano,ganymede kamome,,wac.,玄武|彩龟,,,,,,
74,SEED (DJ Noriken Remix),shiidodiijieenorikenrimikkusu,DJ Noriken,diijieenoriken,seed noriken,,DJ YOSHITAKA|4C,,,,,,,
75,Clione Hommarju Remix,kurioneomaajurimikkusu,Hommarju,omaaju,clione hommarju,,kors k,,,,,,,
76,炉心融解,roshinyuukai,iroha,iroha,rosinyuukai iroha,炉心融解,,,,,,,,
77,恋愛勇者,ren'aiyuusha,Last Note. feat. GUMI,rasutonootofiicharingugumi,renaiyuusya lastnote,恋爱勇者,,,,,,,,
78,セツナトリップ,setsunatorippu,Last Note. feat. GUMI,rasutonootofiicharingugumi,setsuna lastnote,,,,,,,,,
79,イカサマライフゲイム,ikasamaraifugeimu,kemu feat. GUMI,kemufiicharingugumi,ikasama kemu,,,,,,,,,
80,六兆年と一夜物語,rokuchounentoichiyamonogatari,kemu feat. IA,kemufiicharinguia,rokuchonen kemu,六兆年与一夜物语,,邦邦金曲,,,,,,
81,ハートブレイク・ヘッドライン,haatobureikuheddorain,40mP feat. GUMI,yonjuumeetorupiifiicharingugumi,heartbreak 40mp,,,,,,,,,
82,ポーカーフェイス,pookaafeisu,ゆちゃP feat. GUMI,yuchapiifiicharingugumi,pokerface yucha,,,,,,,,,
83,Black Board,burakkuboodo,蝶々P,chouchoupii,blackboard chocho,,,,,,,,,
84,再教育,saikyouiku,Neru,neru,saikyoiku neru,再教育,,,,,,,,
85,dreamin' feat.Ryu☆,doriimingufiicharinguryuu,Mayumi Morinaga  (moimoi),mayumimorinaga,dreamin moimoi,,,,,,,,,
86,チルノのパーフェクトさんすう教室,chirunonopaafekutosansuukyoushitsu,ARM(IOSYS),aamu,cirno sansuu arm,琪露诺的完美算数教室,,⑨,,,,,,
87,Bad Apple!! feat. nomico,baddoappurufiicharingunomiko,Alstroemeria Records,arusutoromeriarekoozu,badapple nomico alreco,,,坏苹果,,,,,,
88,Grip & Break down !! - SDVX Edit. -,gurippuandobureikudaunsaundoborutekkusuedishon,SOUND HOLIC feat. Nana Takahashi,saundohorikkufiicharingunanatakahashi,grip breakdown soundholic,,,,,,,,,
89,taboo tears you up 2008,tabuuteiaazuyuuappunisenhachi,REDALiCE,reddoarisu,taboo redalice,,,,,,,,,
90,月に叢雲華に風,tsukinimurakumohananikaze,幽閉サテライト feat. senya,yuuheisateraitofiicharingusenya,tsukinimurakumo yuuhei,月从丛云花从风,,,,,,,,
91,幻想のサテライト,gensounosateraito,豚乙女,butaotome,gensou butaotome,幻想的卫星|幻想卫星,,秘封,,,,,,
92,明星ロケット,akeboshiroketto,岸田教団＆THE明星ロケッツ,kishidakyoudan'andojiakeboshirokettsu,akeboshi rocket kishidakyodan,明星rocket,,,,,,,,
93,Runway Drive,ran'ueidoraibu,FELT,feruto,runwaydrive felt,,,,,,,,,
94,Blue Rain Dustboxxxx RMX,buruureindasutobokkusurimikkusu,Dustboxxxx,dasutobokkusu,bluerain dustboxxxx,,dj TAKA VS Ryu☆,,,,,,,
95,Abyss (sharp stepp remix),abisushaapusuteppurimikkusu,borzy,boojii,abyss borzy,,dj TAKA,,,,,,,
96,rainbow flyer -gratitude remix-,reinboofuraiyaagurateichuudorimikkusu,PHQUASE,fukase,rainbowflyer phquase,,dj TAKA,,,,,,,
97,Tomorrow Perfume (C-Show Remix),toumoroopafuyuumushishourimikkusu,C-Show,shishou,tomorrow perfume cshow,,dj TAKA,明日香,,,,,,
98,Tomorrow Perfume (tpz Despair Remix),toumoroopafuyuumuteiipiizettodisupeaarimikkusu,t+pazolite,topazoraito,tomorrow perfume tpazolite,,dj TAKA,明日香,,,,,,
99,Freeway Shuffle -More2 HAPPY Re-Mix-,furiiueishaffurumoamoahappiirimikkusu,Yu_Asahina,yuuasahina,freeway shuffle yuasahina,,dj TAKA,,,,,,,
100,pandora (Maozon Remix),pandoramaozonrimikkusu,Maozon,maozon,pandora maozon,,dj TAKA feat. Tomomi,,,,,,,
101,AA BlackY mix,daburueesuburakkiimikkusu,BlackY,burakkii,aa blacky,,dj TAKA,AAAAAA,,,,,,
102,Soundscape,saundosukeepu,Hommarju,omaaju,soundscape hommarju,,,,,,,,,
103,Ray,rei,源屋,minamotoya,ray minamotoya,,,,,,,,,
104,腐れ外道とチョコレゐト,kusaregedoutochokoreito,ピノキオP,pinokiopii,kusaregedo pinocchio,该死的异端和巧克力,,腐外道,,,,,,
105,十面相,juumensou,YM feat. GUMI,waiemufiicharingugumi,juumensou ym,,,,,,,,,
106,ルートスフィア,ruutosufia,Last Note. feat. GUMI,rasutonootofiicharingugumi,rootsphere lastnote,,,,,,,,,
107,人生リセットボタン,jinseirisettobotan,kemu feat. GUMI,kemufiicharingugumi,jinsei reset kemu,人生重置按钮,,,,,,,,
108,カミサマネジマキ,kamisamanejimaki,kemu feat. GUMI,kemufiicharingugumi,kamisama nejimaki kemu,,,,,,,,,
109,V.I.P.,buiaipii,ismK,izumikei,vip ismk,,,VIP,,,,,,
110,エスケープ・フロム・ディストピア,esukeepufuromudisutopia,cosMo＠暴走P feat. MAYU,kosumoattobousoupiifiicharingumayu,escape from distopia cosmo,,,,,,,,,
111,地球最後の告白を,chikyuusaigonokokuhakuwo,kemu feat. GUMI,kemufiicharingugumi,chikyusaigo kemu,地球最后的告白,,,,,,,,
112,ノイジーラバーソウル,noijiirabaasouru,Last Note. feat. GUMI,rasutonootofiicharingugumi,noijila lastnote,,,,,,,,,
113,チェックメイト,chekkumeito,ゆちゃP feat. GUMI,yuchapiifiicharingugumi,checkmate yucha,,,,,,,,,
114,ディストピア・ジパング,disutopiajipangu,cosMo＠暴走P feat. GUMI,kosumoattobousoupiifiicharingugumi,distopia japan cosmo,,,,,,,,,
115,EGG,eggu,ginkiha,ginkiha,egg ginkiha,,,蛋,,,,,,
116,大宇宙ステージ,daiuchuusuteeji,黒魔,kuroma,daiuchu stage kuroma,大宇宙Stage,,TAMA猫,,,,,,
117,Absurd Gaff,abusaadogafu,siromaru,shiromaru,absurd gaff siromaru,,,,,,,,,
118,VISION,bijon,nora2r,noratsuuaaru,vision nora2r,,,,,,,,,
,,,,,,,,,,,,,,
120,TRIGGER★HAPPY,torigaahappii,P*Light,piraito,trigger happy plight,,,,,,,,,
121,éclair au chocolat,ekureeruoshokora,kamome sano,kamomesano,eclair au chocolat kamome,,,闪电泡芙,,,,,,
122,PANIC HOLIC,panikkuhorikku,C-Show,shishou,panic holic cshow,,,,,,,,,
123,Dynasty,dainasuteii,Yooh,yuu,dynasty yooh,,,王朝,,,,,,
124,croiX,kurowa,TeamGrimoire+あま猫,chiimugurimowaarupurasuamaneko,croix teamgrimoire,,,叉,ABCDDD,,,,,
125,Gott,gotto,Hommarju,omaaju,gott hommarju,,,,,,,,,
126,Max Burning!!,makkusubaaningu,BlackY,burakkii,max burning blacky,,,大烧,フカセを绝对に许さない|绝对饶不了PHQUASE,,,,,
127,Rot in hell！！,rottoinheru,EastNewSound,iisutonyuusaundo,rot in hell kokucho,,,,,,,,,
128,魔理沙は大変なものを盗んでいきました,marisahataihennamonowonusundeikimashita,ARM(IOSYS),aamu,marisaha taihen arm,魔理沙偷走了重要的东西,,,,,,,,
129,究極焼肉レストラン！お燐の地獄亭！,kyuukyokuyakinikuresutoran'orinnojigokutei,ARM(IOSYS),aamu,kyuukyoku yakiniku arm,究极烤肉餐厅 阿燐的地狱亭,,,,,,,,
130,ケロ⑨destiny,kerokyuudisuteinii,Silver Forest feat. めらみぽっぷ,shirubaaforesutofiicharingumeramipoppu,kero9destiny silverforest,,,,,,,,,
131,物凄い勢いでけーねが物凄いうた,monosugoiikioidekeenegamonosugoiuta,Halozy feat. ななひら,harojiifiicharingunanahira,monosugoiikioi halozy,非常强势地唱非常强势的歌,,三倍冰激凌|三倍ice cream,,,,,,
132,色は匂へど散りぬるを,irohaniohedochirinuruwo,幽閉サテライト feat. senya,yuuheisateraitofiicharingusenya,irohaniohedo yuuheisatellite,花朵艳丽终将散落,,,,,,,,
133,泡沫、哀のまほろば,utakataainomahoroba,幽閉サテライト feat. senya,yuuheisateraitofiicharingusenya,utakata yuuheisatellite,泡沫，哀伤的美景,,,,,,,,
134,ナイト・オブ・ナイツ,naitoobunaitsu,ビートまりお（COOL&CREATE）,biitomario,night of knights beatmario,,,夜骑,,,,,,
135,"Help me, ERINNNNNN!!",herupumiieerin,ビートまりお（COOL&CREATE）,biitomario,helpme erin beatmario,,,,,,,,,
136,DesireDrive,dezaiadoraibu,岸田教団＆THE明星ロケッツ,kishidakyoudan'andojiakeboshirokettsu,desiredrive kishidakyodan,,,,,,,,,
137,-Rayrain-,reirein,こなぐすり,konagusuri,ray rain konagusuri,,,,,,,,,
138,Silent Story,sairentosutoorii,発熱巫女～ず,hatsunetsumikoozu,silentstory hatunetumiko,,,,,,,,,
139,Wheel,hoiiru,Syrufit feat.綾倉盟 / 市松椿,shirufittofiicharinguayakurameiichimatsutsubaki,wheel syrufit,,,轮子,,,,,,
140,秘封倶楽部の未踏世界,hifuukurabunomitousekai,君の美術館,kiminobijutsukan,hihuuclub kiminobijutsukan,秘封俱乐部的未踏世界,,,,,,,,
,,,,,,,,,,,,,,
142,灰色の空想をつかんで,haiironokuusouwotsukande,じろうす,jirousu,haiironokuusou jirousu,抓住灰色的空想,,,,,,,,
143,MANDARA,mandara,さたな,satana,mandara satana,,,,,,,,,
144,センチメント,senchimento,uno(IOSYS),uno,sentiment uno,,,,,,,,,
145,Disagree Feelings,disuaguriifiiringusu,uno(IOSYS),uno,disagree feelings uno,,,,,,,,,
146,ナツノメイロ,natsunomeiro,stereoberry,sutereoberii,natsunomeiro stereoberry,,,,,,,,,
147,true feeling？～本当の気持ち♪～,touruufiiringuhontounokimochi,shin,shin,truefeeling shin,真正的心情,,本当气持,,,,,,
,,,,,,,,,,,,,,
149,境界インサニティー,kyoukaiinsanitei,Toma+o,tomato,kyoukai insanity tomato,境界insanity,,,,,,,,
,,,,,,,,,,,,,,
151,金縛りの逢を,kanashibarinoaiwo,はるなば,harunaba,kanasibari harunaba,注定的相逢,,金缚逢,,,,,,
152,Earthquake Super Shock - SDVX Edit. -,aasukueikusuupaashokkusaundoborutekkusuedishon,SOUND HOLIC feat. Nana Takahashi,saundohorikkufiicharingunanatakahashi,earthquake super shock soundholic,,,,,,,,,
153,一途な片思い、実らせたい小さな幸せ。,ichizunakataomoiminorasetaichiisanashiawase,うたたP feat. MAYU,utatapiifiicharingumayu,ichizu utatap,全心全意的单相思，想让它开花结果的小小幸福,,一途片思,,,,,,
154,ケッペキショウ,keppekishou,すこっぷ feat.GUMI,sukoppufiicharingugumi,keppekisho scop,,,,,,,,,
155,過食性:アイドル症候群,kashokuseiaidorushoukougun,スズム feat.GUMI＆MAYU,suzumufiicharingugumiandomayu,kasyokusei suzumu,过食性偶像症候群,,,,,,,,
,,,,,,,,,,,,,,
157,サンドリヨン,sandoriyon,Dios/シグナルP,diosushigunarupii,sandoriyon dios,,,,,,,,,
158,こちら、幸福安心委員会です。,kochirakoufukuanshin'iinkaidesu,うたたP,utatapii,kochira kouhuku utatap,这里是幸福安心委员会,,,,,,,,
159,十面相（フリーダムver.）,juumensoufuriidamubaajon,YM feat.__(アンダーバー）,waiemufiicharinguandaabaa,juumensou underbar,,YM feat. GUMI,,,,,,,
160,サリシノハラ,sarishinohara,みきとP,mikitopii,sarishinohara mikitop,,,,,,,,,
161,僕たちは此処にいる,bokutachihakokoniiru,でもたまに居場所とか見失うかぼちゃ,kabocha,bokutachiha kabocha,我们就在此处,,,,,,,,
162,Life is Beautiful,raifuizubyuuteifuru,"Music by コバヤシユウヤ, Vocal by Kuroa*",kobayashiyuuya,lifeisbeautiful kobayashiyuya,,,,,,,,,
163,draw!!!!,doroo,"Music by PHQUASE, Vocal by ぁゅ",fukase,draw phquase,,,,,,,,,
164,超恋愛☆エクストリーム・ガール,chouren'aiekusutoriimugaaru,"Music by Ayatsugu_Otowa, Vocal by みゅい",ayatsuguotowa,chorenai ayatsugu,超恋爱extreme girl,,,,,,,,
165,Hello world!,haroowaarudo,"Music by 源屋, Vocal by SOPHY",minamotoya,helloworld minamotoya,,,,,,,,,
166,The world of sound,zawaarudoobusaundo,"Music by Ryuwitty, Vocal by Kuroa*",ryuuittei,the world of sound ryuwitty,,,,,,,,,
167,STARDUST MERMAID,sutaadasutomaameido,"Music by MasKaleido, Vocal by ぁゅ",masukareido,stardust mermaid maskaleido,,,,,,,,,
168,七色のウタ,nanaironouta,"Music by 上村香月, Vocal by みゅい",uemurakatsuki,nanaironouta uemurakatsuki,七色之歌,,,,,,,,
169,ずっとそばにいさせてよね！,zuttosobaniisaseteyone,"Music by 音遊人 -mu-jin-, Vocal by みかん汁",myuujin,zuttosobani mujin,,,,,,,,,
170,ルービックキューブ,ruubikkukyuubu,otetsu feat.GUMI,otetsufiicharingugumi,rubikcube otetsu,,,,,,,,,
171,非公開日誌,hikoukainisshi,みきとP feat.GUMI,mikitopiifiicharingugumi,hikoukai mikitop,非公开日志,,,,,,,,
172,ドロボウナイトトリック,dorobounaitotorikku,ゆちゃP feat.GUMI,yuchapiifiicharingugumi,dorobonight yucha,,,,,,,,,
173,孤独の番人,kodokunobannin,SCL Project（natsuP）feat. MAYU,esushiierupurojiekutonatsupiifiicharingumayu,kodokunobannin natsup,孤独的番人,,,,,,,,
174,仇返しシンドローム,adagaeshishindoroomu,まふまふ feat.IA,mafumafufiicharinguia,adagaeshi mahumahu,复仇症候群,,仇返,,,,,,
175,トーキョープレジャーグラウンド,tookyoopurejaaguraundo,灯油,touyu,tokyopleasure touyu,,,,,,,,,
176,ワールド・ランプシェード,waarudoranpushieedo,りょーくん,ryookun,world lampshade ryokun,,,,,,,,,
177,ファンタジースター,fantajiisutaa,ぐるたみん,gurutamin,fantasystar gurutamin,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
180,最終鬼畜妹フランドール・S,saishuukichikuimoutofurandooruesu,ビートまりお（COOL&CREATE）,biitomario,saisyuukichiku beatmario,最终鬼畜妹芙兰朵露·S,,光翼|NO REMORSE|无悔,火蜂,黄流,绯蜂,,,
181,星霜輪廻～Repeat～,seisourinneripiito,EastNewSound feat. 茶太,iisutonyuusaundofiicharinguchata,seisourinne chata,星霜轮回～Repeat～,,,,,,,,
182,待チ人ハ来ズ。,machibitohakozu,豚乙女,butaotome,machibitohakozu butaotome,待人未至,,,,,,,,
183,ウサテイ,usatei,あまね＋ビートまりお（COOL&CREATE）,amanebiitomario,usatei iosys,,,,,,,,,
184,魔境堕天録サリエル,makyoudatenrokusarieru,Unlucky Morpheus,anrakkiimorufeusu,makyou unlucky morpheus,魔境堕天使萨丽艾尔,,魔境堕天录,,,,,,
185,Starlight Vision,sutaaraitobijon,矢鴇つかさ feat. 三澤秋 (SoundOnline),yatokitsukasafiicharingumisawaaki,starlight vision tsukasa,,,,,,,,,
186,エピクロスの虹はもう見えない,epikurosunonijihamoumienai,SYNC.ART'S feat. 美里,shinkuaatsufiicharingumisato,epikouros syncarts,再见不到伊壁鸠鲁的彩虹,,,,,,,,
187,Strawberry Crisis,sutoroberiikuraishisu,CROW'SCLAW,kurouzukurou,strawberrycrisis crowsclaw,,,,,,,,,
188,東方妖々夢 ～the maximum moving about～,touhouyouyoumuzamakishimamumuubinguabauto,石鹸屋,sekkenya,maximum moving sekkenya,東方妖々夢 ～the maximum moving about～,,,,,,,,
189,神々の祈り,kamigaminoinori,舞風-MAIKAZE/沙紗飛鳥,maikaze,kamigamino inori maikaze,神明的祈祷,,,,,,,,
190,蒼空に舞え、墨染の桜,soranimaesumizomenosakura,さゆり (Silver Forest),sayuri,soranimae silverforest,苍空漫舞，墨染之樱,,,,,,,,
191,Shiny Up!,shainiiappu,C-CLAYS,shiikureizu,shinyup cclays,,,,,,,,,
192,Virtual Sunrise,baacharusanraizu,kors k,koosuke,virtual sunrise korsk,,,,,,,,,
,,,,,,,,,,,,,,
194,つぶやき魔法少女りむる,tsubuyakimahoushoujorimuru,DJ SHARPNEL feat. みらい,diijieeshaapunerufiicharingumirai,tsubuyaki rimuru sharpnel,发推魔法少女粒烧,,,,,,,,
,,,,,,,,,,,,,,
196,SCAPEGOAT BOY - SDVX Edit. -,sukeepugootobooi,SOUND HOLIC feat. Nana Takahashi,saundohorikkufiicharingunanatakahashi,scapegoat boy soundholic,,,,,,,,,
,,,,,,,,,,,,,,
198,天狗の落とし文 feat. ｙｔｒ,tengunootoshibumi,魂音泉,tamaonsen,tenguno otoshibumi tamaonsen,来自天狗的文字,,天狗落文,,,,,,
199,アノ華咲クヤ,anohanasakuya,幽閉サテライト with 岸田教団＆THE明星ロケッツ feat.ichigo & senya,yuuheisateraitouizukishidakyoudan,anohanasakuya yuuhei kishida,那朵花开放了,,华咲,,,,,,
200,Keep Going!,kiipugooingu,REDALiCE feat. 野宮あゆみ,reddoarisufiicharingunomiyaayumi,keepgoing redalice,,,,,,,,,
201,Two Fates,touufeitsu,発熱巫女～ず,hatsunetsumikoozu,two fates hatunetumiko,,,,,,,,,
202,げきオコスティックファイナリアリティぷんぷんマスタースパーク,gekiokosuteikkufainariariteipunpunmasutaasupaaku,ARM(IOSYS) feat.ビートまりお(COOL&CREATE),aamufiicharingubiitomario,gekioko arm,,,,,,,,,
203,Antinomie (SDVX EDIT),anchinomii,void(IOSYS) feat. 厚志(石鹸屋),voidofiicharinguatsushi,antinomie void,,,,,,,,,
204,Power of Battle (SDVX EDIT),pawaaobubatoru,RoughSketch vs REDALiCE feat.イザベル,rafusuketchibaasasureddoarisufiicharinguizaberu,power of battle roughsketch,,,,,,,,,
205,concon (picom'n'bass rmx),konkonpikomunbeesurimikkusu,kamome sano,kamomesano,concon scu,,S-C-U,,,,,,,
206,Daily Lunch Special ～DeliciousREMIX～,deiriiranchisupesharuderishasurimikkusu,提供,teikyou,daily lunch special teikyo,,Lucky Vacuum,,,,,,,
